timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1391562105.31,-0.0046,0.0142,0.0028,0.3532,0.4102,0.819,-1.1345353675450762,-1.2510402219140084,0.8460471567267683
1391562105.31,0.001,0.0098,0.0016,0.3574,0.4102,0.819,-1.1067961165048543,-1.217753120665742,0.826629680998613
1391562105.32,0.007,0.005,0.0,0.362,0.411,0.819,-1.1067961165048543,-1.217753120665742,0.826629680998613
1391562105.33,0.0162,0.0002,-0.0016,0.3654,0.41,0.8188,-1.087378640776699,-1.2233009708737863,0.8515950069348127
1391562105.33,0.0316,-0.0044,-0.004,0.366,0.4054,0.819,-1.087378640776699,-1.2233009708737863,0.8515950069348127
1391562105.34,0.054,-0.0064,-0.0082,0.3652,0.4034,0.819,-1.0485436893203883,-1.2011095700416088,0.826629680998613
1391562105.34,0.0828,-0.0062,-0.0138,0.362,0.4062,0.819,-1.0485436893203883,-1.2011095700416088,0.826629680998613
1391562105.35,0.116,-0.0064,-0.0208,0.3588,0.4058,0.819,-1.001386962552011,-1.176144244105409,0.8349514563106796
1391562105.36,0.1526,-0.006,-0.0288,0.362,0.405,0.819,-1.001386962552011,-1.176144244105409,0.8349514563106796
1391562105.36,0.1924,-0.0048,-0.0386,0.3732,0.408,0.819,-1.001386962552011,-1.176144244105409,0.8349514563106796
1391562105.37,0.2382,-0.0056,-0.049,0.387,0.4192,0.819,-1.001386962552011,-1.176144244105409,0.8349514563106796
1391562105.37,0.2734,-0.0134,-0.0588,0.394,0.4272,0.819,-1.001386962552011,-1.176144244105409,0.8349514563106796
1391562105.38,0.3328,-0.034,-0.0648,0.3908,0.4186,0.819,-0.7739251040221914,-1.0790568654646324,0.8460471567267683
1391562105.39,0.3964,-0.0644,-0.0732,0.3806,0.4028,0.819,-0.7739251040221914,-1.0790568654646324,0.8460471567267683
1391562105.39,0.4578,-0.098,-0.0814,0.3626,0.3884,0.819,-0.6158113730929264,-1.042995839112344,0.8460471567267683
1391562105.4,0.5092,-0.1292,-0.0878,0.3448,0.3782,0.819,-0.6158113730929264,-1.042995839112344,0.8460471567267683
1391562105.4,0.5428,-0.1558,-0.0924,0.3344,0.3688,0.8188,-0.47156726768377255,-0.9986130374479889,0.8377253814147018
1391562105.41,0.554,-0.1766,-0.0946,0.334,0.3616,0.819,-0.47156726768377255,-0.9986130374479889,0.8377253814147018
1391562105.42,0.5452,-0.192,-0.0932,0.339,0.3576,0.8188,-0.3245492371705964,-0.957004160887656,0.8543689320388349
1391562105.42,0.523,-0.2022,-0.0872,0.3458,0.3558,0.819,-0.3245492371705964,-0.957004160887656,0.8543689320388349
1391562105.43,0.496,-0.2062,-0.078,0.3492,0.3598,0.819,-0.3245492371705964,-0.957004160887656,0.8543689320388349
1391562105.43,0.4714,-0.2068,-0.0668,0.3452,0.3574,0.819,-0.17753120665742025,-0.8904299583911235,0.8377253814147018
1391562105.44,0.4544,-0.209,-0.0556,0.3284,0.3456,0.819,-0.17753120665742025,-0.8904299583911235,0.8377253814147018
1391562105.45,0.4498,-0.2058,-0.0462,0.3022,0.3506,0.819,-0.06102635228848821,-0.8571428571428571,0.8460471567267683
1391562105.45,0.452,-0.1952,-0.0398,0.28,0.3764,0.819,-0.06102635228848821,-0.8571428571428571,0.8460471567267683
1391562105.46,0.4498,-0.1882,-0.0384,0.2722,0.387,0.819,0.07212205270457697,-0.7961165048543689,0.8932038834951457
1391562105.46,0.4382,-0.1932,-0.0406,0.2732,0.377,0.819,0.07212205270457697,-0.7961165048543689,0.8932038834951457
1391562105.47,0.418,-0.2034,-0.043,0.2778,0.3714,0.819,0.19694868238557559,-0.7766990291262136,0.9348127600554785
1391562105.48,0.3926,-0.2122,-0.0454,0.2846,0.3866,0.819,0.19694868238557559,-0.7766990291262136,0.9348127600554785
1391562105.48,0.3674,-0.2236,-0.0498,0.2922,0.4048,0.819,0.19694868238557559,-0.7766990291262136,0.9348127600554785
1391562105.49,0.3456,-0.2466,-0.0562,0.3026,0.4044,0.819,0.19694868238557559,-0.7766990291262136,0.9348127600554785
1391562105.49,0.3284,-0.2824,-0.0622,0.3126,0.387,0.819,0.19694868238557559,-0.7766990291262136,0.9348127600554785
1391562105.51,0.3132,-0.3652,-0.0668,0.3196,0.3522,0.819,0.37447988904299584,-0.7656033287101248,1.0124826629680999
1391562105.51,0.3144,-0.4002,-0.065,0.3168,0.3392,0.819,0.4549237170596394,-0.768377253814147,1.0263522884882108
1391562105.52,0.3232,-0.4456,-0.054,0.3112,0.3262,0.819,0.5298196948682385,-0.812760055478502,1.0346740638002774
1391562105.53,0.3274,-0.4564,-0.0446,0.313,0.3286,0.819,0.5298196948682385,-0.812760055478502,1.0346740638002774
1391562105.54,0.332,-0.4612,-0.0338,0.3158,0.3312,0.819,0.5714285714285714,-0.8460471567267683,1.0624133148404993
1391562105.54,0.3382,-0.4614,-0.0226,0.318,0.33,0.819,0.5714285714285714,-0.8460471567267683,1.0624133148404993
1391562105.55,0.3448,-0.4574,-0.0104,0.3202,0.3274,0.819,0.5714285714285714,-0.8460471567267683,1.0624133148404993
1391562105.55,0.3504,-0.4478,0.004,0.3218,0.3272,0.8188,0.6574202496532594,-0.8848821081830791,1.0846047156726768
1391562105.56,0.3556,-0.433,0.0204,0.3216,0.3306,0.819,0.6574202496532594,-0.8848821081830791,1.0846047156726768
1391562105.57,0.3598,-0.4138,0.0386,0.322,0.3376,0.819,0.6851595006934813,-0.9098474341192788,1.0818307905686546
1391562105.57,0.3638,-0.3914,0.0584,0.3176,0.3496,0.819,0.6851595006934813,-0.9098474341192788,1.0818307905686546
1391562105.58,0.3714,-0.3752,0.0772,0.3036,0.366,0.819,0.7600554785020804,-0.9181692094313454,1.0624133148404993
1391562105.58,0.379,-0.3514,0.0928,0.2868,0.3852,0.819,0.7600554785020804,-0.9181692094313454,1.0624133148404993
1391562105.6,0.4094,-0.323,0.1058,0.2494,0.4078,0.819,0.782246879334258,-0.9292649098474342,1.0457697642163661
1391562105.61,0.4352,-0.334,0.0996,0.2172,0.3934,0.819,0.8432732316227461,-0.9597780859916782,1.0208044382801664
1391562105.62,0.4172,-0.367,0.0794,0.221,0.3602,0.8188,0.8626907073509015,-0.9875173370319001,0.9819694868238558
1391562105.63,0.3912,-0.3796,0.0678,0.2372,0.3462,0.819,0.8626907073509015,-0.9875173370319001,0.9819694868238558
1391562105.63,0.359,-0.3856,0.056,0.2612,0.337,0.819,0.8904299583911235,-1.0319001386962552,0.9819694868238558
1391562105.64,0.3262,-0.3846,0.046,0.2822,0.3328,0.819,0.8904299583911235,-1.0319001386962552,0.9819694868238558
1391562105.64,0.2994,-0.3772,0.038,0.2976,0.3272,0.819,0.8876560332871013,-1.0513176144244105,0.926490984743412
1391562105.65,0.2834,-0.3642,0.0314,0.3078,0.3282,0.819,0.8876560332871013,-1.0513176144244105,0.926490984743412
1391562105.66,0.2786,-0.3464,0.028,0.309,0.3314,0.819,0.9237170596393898,-1.0818307905686546,0.9042995839112344
1391562105.67,0.3134,-0.2704,0.033,0.2878,0.3348,0.819,0.9375866851595007,-1.0679611650485437,0.871012482662968
1391562105.68,0.3298,-0.2376,0.0396,0.2844,0.339,0.819,0.9375866851595007,-1.0679611650485437,0.871012482662968
1391562105.69,0.3434,-0.2014,0.0492,0.2804,0.3458,0.819,0.9653259361997226,-1.0846047156726768,0.8515950069348127
1391562105.69,0.355,-0.1642,0.0608,0.267,0.354,0.819,0.9653259361997226,-1.0846047156726768,0.8515950069348127
1391562105.7,0.3638,-0.1276,0.0742,0.2468,0.363,0.8188,1.001386962552011,-1.0929264909847434,0.8432732316227461
1391562105.7,0.3668,-0.0942,0.0872,0.2306,0.369,0.819,1.001386962552011,-1.0929264909847434,0.8432732316227461
1391562105.71,0.3508,-0.0408,0.106,0.2172,0.3652,0.819,1.0208044382801664,-1.0762829403606102,0.8460471567267683
1391562105.72,0.3358,-0.0184,0.1102,0.2164,0.3578,0.819,1.0540915395284327,-1.059639389736477,0.8210818307905686
1391562105.73,0.3198,0.0044,0.1108,0.2174,0.3516,0.819,1.0540915395284327,-1.059639389736477,0.8210818307905686
1391562105.73,0.3056,0.0302,0.1074,0.2162,0.3462,0.819,1.0540915395284327,-1.059639389736477,0.8210818307905686
1391562105.74,0.2944,0.06,0.1002,0.2154,0.341,0.819,1.0651872399445215,-1.042995839112344,0.8321775312066574
1391562105.74,0.2848,0.095,0.0896,0.219,0.3358,0.819,1.0651872399445215,-1.042995839112344,0.8321775312066574
