timestamp accX accY accZ gyrX gyrY gyrZ magX magY magZ
1387308710.25 -0.0044 0.0146 0.0096 0.3984 0.4352 0.5708 0.7434119278779473 1.2843273231622747 1.5339805825242718
1387308710.26 -0.0044 0.0148 0.01 0.399 0.4362 0.5722 0.7656033287101248 1.2926490984743413 1.5450762829403606
1387308710.26 -0.0044 0.0148 0.0104 0.3994 0.4366 0.5728 0.7656033287101248 1.2926490984743413 1.5450762829403606
1387308710.27 -0.004 0.0144 0.011 0.3996 0.436 0.573 0.7572815533980582 1.317614424410541 1.5478502080443828
1387308710.28 -0.003 0.0138 0.0118 0.3992 0.436 0.5728 0.7572815533980582 1.317614424410541 1.5478502080443828
1387308710.28 -0.002 0.0132 0.0126 0.3992 0.4366 0.573 0.7572815533980582 1.2981969486823857 1.5423023578363384
1387308710.29 -0.0012 0.0126 0.0138 0.4 0.437 0.5736 0.7572815533980582 1.2981969486823857 1.5423023578363384
1387308710.29 -0.0002 0.012 0.0154 0.402 0.4364 0.5738 0.7572815533980582 1.2981969486823857 1.5423023578363384
1387308710.3 0.0006 0.0112 0.0178 0.4062 0.4356 0.574 0.7600554785020804 1.259361997226075 1.536754507628294
1387308710.31 0.0022 0.0104 0.0216 0.412 0.435 0.5742 0.7600554785020804 1.259361997226075 1.536754507628294
1387308710.31 0.0054 0.0098 0.0276 0.4162 0.4342 0.5734 0.7600554785020804 1.2649098474341194 1.5450762829403606
1387308710.32 0.0108 0.0098 0.036 0.415 0.4334 0.5722 0.7600554785020804 1.2649098474341194 1.5450762829403606
1387308710.32 0.0186 0.0106 0.0456 0.41 0.4332 0.5694 0.7350901525658807 1.3065187239944522 1.5589459084604715
1387308710.33 0.0276 0.0126 0.0556 0.4064 0.4322 0.567 0.7350901525658807 1.3065187239944522 1.5589459084604715
1387308710.34 0.036 0.0158 0.0652 0.4054 0.4326 0.5676 0.7517337031900139 1.3231622746185854 1.5284327323162274
1387308710.34 0.0432 0.019 0.075 0.4082 0.4332 0.5692 0.7517337031900139 1.3231622746185854 1.5284327323162274
1387308710.35 0.05 0.0224 0.085 0.412 0.4342 0.5708 0.7628294036061026 1.3092926490984744 1.5256588072122053
1387308710.35 0.0582 0.0258 0.0954 0.4104 0.4352 0.571 0.7628294036061026 1.3092926490984744 1.5256588072122053
1387308710.36 0.068 0.0292 0.1056 0.4056 0.4366 0.5686 0.7628294036061026 1.3092926490984744 1.5256588072122053
1387308710.37 0.0774 0.0326 0.1152 0.4018 0.4356 0.5666 0.7461858529819695 1.3009708737864079 1.5034674063800277
1387308710.37 0.0836 0.0364 0.1254 0.4022 0.437 0.5662 0.7461858529819695 1.3009708737864079 1.5034674063800277
1387308710.38 0.086 0.0394 0.1364 0.4056 0.4384 0.5684 0.7545076282940361 1.345353675450763 1.4979195561719834
1387308710.38 0.087 0.0418 0.1474 0.4062 0.4392 0.5692 0.7545076282940361 1.345353675450763 1.4979195561719834
1387308710.39 0.0894 0.0434 0.1574 0.4022 0.439 0.5662 0.7461858529819695 1.3675450762829404 1.50624133148405
1387308710.39 0.0924 0.0446 0.1664 0.4006 0.4388 0.563 0.7461858529819695 1.3675450762829404 1.50624133148405
1387308710.4 0.092 0.046 0.175 0.4066 0.4378 0.5622 0.7489597780859917 1.3980582524271845 1.4729542302357836
1387308710.41 0.0884 0.048 0.184 0.4148 0.4368 0.5638 0.7489597780859917 1.3980582524271845 1.4729542302357836
1387308710.41 0.0866 0.0518 0.1948 0.4172 0.437 0.564 0.7489597780859917 1.3980582524271845 1.4729542302357836
1387308710.42 0.089 0.0576 0.2058 0.4138 0.4366 0.5616 0.7045769764216366 1.3730929264909848 1.4840499306518724
1387308710.42 0.095 0.0652 0.2174 0.4046 0.4372 0.5594 0.7045769764216366 1.3730929264909848 1.4840499306518724
1387308710.43 0.1016 0.0748 0.2278 0.3976 0.4382 0.5562 0.6990291262135923 1.403606102635229 1.447988904299584
1387308710.44 0.106 0.0852 0.2368 0.3966 0.4378 0.5534 0.6990291262135923 1.403606102635229 1.447988904299584
1387308710.44 0.108 0.0968 0.2446 0.3982 0.4368 0.5534 0.6851595006934813 1.4174757281553398 1.4424410540915396
1387308710.45 0.1066 0.1098 0.2528 0.4004 0.4398 0.5542 0.6851595006934813 1.4174757281553398 1.4424410540915396
