timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1386186008.43,0.398,0.4306,0.5776,0.0924,0.2162,0.0446,-0.0476,-0.161111111111,0.491666666667,1.33611111111
1386186008.44,0.3898,0.4284,0.5756,0.1082,0.2188,0.0414,-0.0448,-0.122222222222,0.511111111111,1.34444444444
1386186008.45,0.393,0.4694,0.5728,0.1246,0.22,0.0376,-0.0448,-0.122222222222,0.511111111111,1.34444444444
1386186008.45,0.35,0.5004,0.5914,0.1422,0.2216,0.0328,-0.0458,-0.136111111111,0.516666666667,1.36111111111
1386186008.46,0.3454,0.457,0.614,0.1644,0.241,0.028,-0.0458,-0.136111111111,0.516666666667,1.36111111111
1386186008.46,0.3668,0.4206,0.657,0.198,0.2632,0.027,-0.045,-0.125,0.536111111111,1.36944444444
1386186008.47,0.3986,0.4208,0.7176,0.2374,0.2664,0.0274,-0.045,-0.125,0.536111111111,1.36944444444
1386186008.48,0.4752,0.4434,0.8062,0.315,0.2184,0.023,-0.0398,-0.0527777777778,0.522222222222,1.39722222222
1386186008.49,0.5072,0.4556,0.8156,0.3394,0.1862,0.0138,-0.0398,-0.0527777777778,0.522222222222,1.39722222222
1386186008.49,0.5354,0.4722,0.8174,0.3488,0.1538,0.002,-0.0398,-0.0527777777778,0.494444444444,1.41944444444
1386186008.5,0.5386,0.484,0.8184,0.34,0.1262,-0.0118,-0.0398,-0.0527777777778,0.494444444444,1.41944444444
1386186008.51,0.5292,0.484,0.8178,0.3152,0.1052,-0.0252,-0.036,0.0,0.5,1.43611111111
1386186008.52,0.4812,0.4922,0.7408,0.2034,0.0374,-0.0414,-0.039,-0.0416666666667,0.458333333333,1.46111111111
1386186008.54,0.456,0.4818,0.6792,0.1408,0.0078,-0.0382,-0.0378,-0.025,0.430555555556,1.46388888889
1386186008.54,0.4488,0.4688,0.6552,0.1076,0.0016,-0.0348,-0.0368,-0.0111111111111,0.394444444444,1.46111111111
1386186008.55,0.445,0.4566,0.6356,0.0788,-0.006,-0.029,-0.0368,-0.0111111111111,0.394444444444,1.46111111111
1386186008.55,0.4414,0.4456,0.6182,0.0554,-0.0126,-0.023,-0.0368,-0.0111111111111,0.394444444444,1.46111111111
1386186008.56,0.4386,0.439,0.6056,0.037,-0.0194,-0.0166,-0.0346,0.0194444444444,0.402777777778,1.48333333333
1386186008.57,0.4366,0.4304,0.5954,0.024,-0.0258,-0.0106,-0.0346,0.0194444444444,0.402777777778,1.48333333333
1386186008.57,0.434,0.4208,0.5848,0.0154,-0.03,-0.0056,-0.0358,0.00277777777778,0.377777777778,1.48055555556
1386186008.58,0.441,0.4248,0.5842,0.0106,-0.0352,-0.0014,-0.0358,0.00277777777778,0.377777777778,1.48055555556
1386186008.58,0.4498,0.4346,0.5904,0.0058,-0.041,0.0036,-0.0352,0.0111111111111,0.375,1.47222222222
1386186008.59,0.4502,0.4264,0.5832,-0.0022,-0.0416,0.0078,-0.0352,0.0111111111111,0.375,1.47222222222
1386186008.59,0.4522,0.4118,0.578,-0.0118,-0.0362,0.0104,-0.0346,0.0194444444444,0.391666666667,1.50277777778
1386186008.6,0.4544,0.4,0.5694,-0.0222,-0.0324,0.0106,-0.0346,0.0194444444444,0.391666666667,1.50277777778
1386186008.61,0.4666,0.4208,0.584,-0.0332,-0.0376,0.0086,-0.0346,0.0194444444444,0.391666666667,1.50277777778
1386186008.61,0.4636,0.4268,0.5864,-0.0436,-0.0426,0.0066,-0.0342,0.025,0.372222222222,1.51388888889
1386186008.62,0.4592,0.421,0.5802,-0.0556,-0.0332,-0.0054,-0.0322,0.0527777777778,0.391666666667,1.52222222222
1386186008.63,0.4594,0.4242,0.583,-0.059,-0.0274,-0.0126,-0.0322,0.0527777777778,0.391666666667,1.52222222222
1386186008.64,0.4574,0.4214,0.5848,-0.0702,-0.022,-0.022,-0.0338,0.0305555555556,0.380555555556,1.52777777778
1386186008.65,0.4492,0.415,0.579,-0.078,-0.0236,-0.0252,-0.0332,0.0388888888889,0.394444444444,1.51666666667
1386186008.65,0.4504,0.4166,0.58,-0.0834,-0.0314,-0.0272,-0.0332,0.0388888888889,0.394444444444,1.51666666667
1386186008.66,0.4482,0.4072,0.5734,-0.0892,-0.0386,-0.0278,-0.0328,0.0444444444444,0.4,1.525
1386186008.67,0.4494,0.403,0.5648,-0.095,-0.053,-0.0312,-0.0328,0.0444444444444,0.4,1.525
1386186008.67,0.4574,0.4126,0.5692,-0.0984,-0.073,-0.0368,-0.0328,0.0444444444444,0.4,1.525
1386186008.68,0.4664,0.433,0.5778,-0.1012,-0.0962,-0.047,-0.0342,0.025,0.369444444444,1.53055555556
1386186008.69,0.4786,0.4542,0.583,-0.1092,-0.1204,-0.0762,-0.0348,0.0166666666667,0.366666666667,1.51666666667
1386186008.7,0.4774,0.4506,0.5742,-0.1168,-0.1114,-0.0942,-0.0348,0.0166666666667,0.366666666667,1.51666666667
1386186008.7,0.4736,0.4476,0.5644,-0.1264,-0.0928,-0.115,-0.035,0.0138888888889,0.352777777778,1.51388888889
1386186008.71,0.4646,0.4434,0.5556,-0.1358,-0.0694,-0.137,-0.035,0.0138888888889,0.352777777778,1.51388888889
1386186008.71,0.462,0.4404,0.5464,-0.1414,-0.0466,-0.1592,-0.034,0.0277777777778,0.380555555556,1.50277777778
1386186008.73,0.4564,0.4618,0.5258,-0.131,-0.0074,-0.213,-0.035,0.0138888888889,0.355555555556,1.52222222222
1386186008.74,0.4564,0.4546,0.5134,-0.113,0.0142,-0.2392,-0.0366,-0.00833333333333,0.363888888889,1.52222222222
1386186008.75,0.4642,0.4648,0.5216,-0.105,0.016,-0.247,-0.0366,-0.00833333333333,0.363888888889,1.52222222222
1386186008.76,0.463,0.4734,0.5238,-0.102,0.0128,-0.2506,-0.0346,0.0194444444444,0.347222222222,1.53333333333
1386186008.76,0.4558,0.4714,0.5172,-0.104,0.0106,-0.25,-0.0346,0.0194444444444,0.347222222222,1.53333333333
1386186008.77,0.4462,0.4688,0.5086,-0.1088,0.0098,-0.2478,-0.0344,0.0222222222222,0.336111111111,1.51944444444
1386186008.77,0.4374,0.473,0.506,-0.1132,0.0094,-0.2456,-0.0344,0.0222222222222,0.336111111111,1.51944444444
1386186008.78,0.4278,0.4712,0.5006,-0.1152,0.0116,-0.2456,-0.0352,0.0111111111111,0.358333333333,1.51388888889
1386186008.79,0.4212,0.4654,0.4952,-0.116,0.0186,-0.2472,-0.0352,0.0111111111111,0.358333333333,1.51388888889
1386186008.79,0.417,0.4594,0.492,-0.1152,0.03,-0.2514,-0.0352,0.0111111111111,0.358333333333,1.51388888889
1386186008.8,0.4124,0.4546,0.4882,-0.113,0.0424,-0.2576,-0.0362,-0.00277777777778,0.347222222222,1.46666666667
1386186008.8,0.4082,0.452,0.4842,-0.1096,0.0526,-0.264,-0.0362,-0.00277777777778,0.347222222222,1.46666666667
1386186008.81,0.4096,0.4534,0.4874,-0.105,0.0596,-0.2696,-0.0348,0.0166666666667,0.363888888889,1.50555555556
1386186008.82,0.4088,0.454,0.4866,-0.1006,0.0642,-0.2742,-0.0348,0.0166666666667,0.363888888889,1.50555555556
1386186008.82,0.4076,0.454,0.4846,-0.0976,0.0678,-0.278,-0.036,0.0,0.366666666667,1.51111111111
1386186008.83,0.4018,0.4552,0.4802,-0.095,0.0724,-0.2832,-0.0348,0.0166666666667,0.352777777778,1.49444444444
1386186008.84,0.3966,0.4544,0.4752,-0.0968,0.0742,-0.284,-0.0348,0.0166666666667,0.352777777778,1.49444444444
1386186008.85,0.3906,0.4532,0.4692,-0.099,0.0756,-0.2842,-0.0348,0.0166666666667,0.352777777778,1.49444444444
1386186008.85,0.3848,0.455,0.4664,-0.1008,0.076,-0.285,-0.0368,-0.0111111111111,0.347222222222,1.5
1386186008.86,0.3794,0.4586,0.4634,-0.0998,0.0766,-0.2876,-0.0368,-0.0111111111111,0.347222222222,1.5
1386186008.86,0.3762,0.4632,0.464,-0.0958,0.0796,-0.2912,-0.0374,-0.0194444444444,0.361111111111,1.46944444444
1386186008.88,0.3798,0.4624,0.4808,-0.0686,0.1022,-0.3,-0.0374,-0.0194444444444,0.383333333333,1.475
1386186008.9,0.373,0.4538,0.4854,-0.0606,0.1272,-0.3098,-0.037,-0.0138888888889,0.388888888889,1.47222222222
1386186008.9,0.3708,0.4506,0.4826,-0.0602,0.14,-0.3144,-0.037,-0.0138888888889,0.388888888889,1.47222222222
1386186008.91,0.3674,0.4462,0.4798,-0.0588,0.1544,-0.3224,-0.037,-0.0138888888889,0.388888888889,1.47222222222
1386186008.95,0.3832,0.407,0.5026,0.006,0.196,-0.3998,-0.035,0.0138888888889,0.402777777778,1.47777777778
1386186008.96,0.3888,0.4072,0.5084,0.0154,0.1836,-0.4126,-0.035,0.0138888888889,0.402777777778,1.47777777778
1386186008.96,0.3908,0.4096,0.5102,0.0198,0.1646,-0.4238,-0.035,0.0138888888889,0.402777777778,1.47777777778
1386186008.98,0.3826,0.4236,0.4994,0.0186,0.1132,-0.4428,-0.0376,-0.0222222222222,0.419444444444,1.46666666667
1386186008.98,0.3734,0.432,0.491,0.0176,0.0852,-0.4504,-0.0376,-0.0222222222222,0.383333333333,1.49166666667
1386186008.99,0.3698,0.438,0.485,0.0196,0.0574,-0.456,-0.0376,-0.0222222222222,0.383333333333,1.49166666667
1386186008.99,0.3686,0.443,0.4798,0.0238,0.0304,-0.4602,-0.036,0.0,0.363888888889,1.475
1386186009.0,0.3668,0.4468,0.4744,0.028,0.0054,-0.464,-0.036,0.0,0.363888888889,1.475
1386186009.01,0.3662,0.4516,0.4724,0.031,-0.017,-0.4684,-0.0368,-0.0111111111111,0.336111111111,1.48333333333
1386186009.01,0.3692,0.4578,0.4736,0.033,-0.036,-0.474,-0.0368,-0.0111111111111,0.336111111111,1.48333333333
1386186009.02,0.3708,0.4642,0.4746,0.034,-0.0516,-0.4808,-0.0372,-0.0166666666667,0.325,1.48055555556
1386186009.02,0.3696,0.4702,0.4752,0.0348,-0.06,-0.4854,-0.0372,-0.0166666666667,0.325,1.48055555556
1386186009.03,0.37,0.4738,0.4764,0.0364,-0.0692,-0.492,-0.0372,-0.0166666666667,0.325,1.48055555556
1386186009.04,0.3814,0.4782,0.492,0.0486,-0.0774,-0.504,-0.0358,0.00277777777778,0.294444444444,1.49722222222
1386186009.05,0.3852,0.4764,0.5014,0.0572,-0.0784,-0.5076,-0.0342,0.025,0.261111111111,1.47222222222
1386186009.06,0.3914,0.4568,0.5102,0.0782,-0.0768,-0.51,-0.0338,0.0305555555556,0.258333333333,1.48611111111
1386186009.07,0.3922,0.444,0.5098,0.0926,-0.0772,-0.5122,-0.0338,0.0305555555556,0.258333333333,1.48611111111
1386186009.08,0.3882,0.4326,0.503,0.1312,-0.0916,-0.5284,-0.0326,0.0472222222222,0.244444444444,1.49722222222
1386186009.08,0.381,0.4334,0.4978,0.1552,-0.1074,-0.5452,-0.0326,0.0472222222222,0.244444444444,1.49722222222
1386186009.09,0.3758,0.435,0.4914,0.1832,-0.1286,-0.5666,-0.0318,0.0583333333333,0.213888888889,1.51666666667
1386186009.11,0.3844,0.4482,0.4702,0.2822,-0.226,-0.6406,-0.0286,0.102777777778,0.172222222222,1.50277777778
1386186009.11,0.392,0.4634,0.462,0.3112,-0.2716,-0.664,-0.0256,0.144444444444,0.1,1.50555555556
1386186009.12,0.3994,0.4838,0.4532,0.3338,-0.3222,-0.6854,-0.0256,0.144444444444,0.1,1.50555555556
1386186009.13,0.4124,0.533,0.4344,0.3576,-0.4212,-0.724,-0.0206,0.213888888889,0.0194444444444,1.53333333333
1386186009.16,0.4424,0.6154,0.4322,0.3768,-0.4892,-0.796,-0.0124,0.327777777778,-0.0861111111111,1.525
1386186009.17,0.444,0.624,0.4454,0.3864,-0.4724,-0.8002,-0.007,0.402777777778,-0.125,1.51111111111
1386186009.18,0.4602,0.6168,0.4804,0.4254,-0.411,-0.7862,-0.0024,0.466666666667,-0.158333333333,1.50277777778
1386186009.19,0.4738,0.6086,0.4988,0.4512,-0.3742,-0.7682,-0.0024,0.466666666667,-0.158333333333,1.50277777778
1386186009.19,0.4874,0.6042,0.5154,0.474,-0.3394,-0.7434,0.0006,0.508333333333,-0.166666666667,1.51666666667
1386186009.2,0.4984,0.6032,0.5328,0.4888,-0.309,-0.714,0.0006,0.508333333333,-0.166666666667,1.51666666667
1386186009.2,0.5044,0.6046,0.5488,0.492,-0.2826,-0.6816,0.0006,0.508333333333,-0.166666666667,1.51666666667
1386186009.21,0.5084,0.6058,0.5574,0.483,-0.2588,-0.6462,0.005,0.569444444444,-0.183333333333,1.52222222222
1386186009.22,0.511,0.6084,0.5614,0.4618,-0.2348,-0.6092,0.005,0.569444444444,-0.183333333333,1.52222222222
1386186009.22,0.502,0.6054,0.5636,0.4306,-0.2082,-0.5732,0.009,0.625,-0.2,1.53055555556
1386186009.23,0.4938,0.6016,0.563,0.3946,-0.1756,-0.5394,0.009,0.625,-0.2,1.53055555556
1386186009.23,0.4838,0.5974,0.562,0.358,-0.1376,-0.5086,0.0126,0.675,-0.2,1.53888888889
1386186009.24,0.4752,0.582,0.5576,0.3232,-0.093,-0.4806,0.0126,0.675,-0.2,1.53888888889
1386186009.26,0.4748,0.5188,0.5886,0.24,0.0774,-0.3816,0.0168,0.733333333333,-0.130555555556,1.55833333333
1386186009.27,0.4802,0.5078,0.6006,0.2314,0.1134,-0.3674,0.0168,0.733333333333,-0.130555555556,1.55833333333
1386186009.28,0.5062,0.49,0.6348,0.2414,0.1608,-0.329,0.017,0.736111111111,-0.0916666666667,1.55277777778
1386186009.29,0.5214,0.483,0.647,0.2554,0.1664,-0.3092,0.0196,0.772222222222,-0.0666666666667,1.54166666667
1386186009.29,0.5342,0.4826,0.6572,0.2696,0.1574,-0.2888,0.0196,0.772222222222,-0.0666666666667,1.54166666667
1386186009.3,0.54,0.4886,0.663,0.2812,0.1352,-0.2692,0.024,0.833333333333,-0.0666666666667,1.56111111111
1386186009.32,0.5538,0.4898,0.6436,0.3014,0.0416,-0.216,0.0268,0.872222222222,-0.0722222222222,1.57222222222
1386186009.32,0.5598,0.4862,0.6326,0.3006,0.012,-0.2004,0.0268,0.872222222222,-0.0722222222222,1.57222222222
1386186009.33,0.5644,0.4854,0.6222,0.2948,-0.0146,-0.188,0.0298,0.913888888889,-0.0777777777778,1.57222222222
1386186009.34,0.58,0.4718,0.6046,0.2676,-0.0556,-0.174,0.0304,0.922222222222,-0.0777777777778,1.52222222222
1386186009.36,0.5978,0.5034,0.5826,0.2344,-0.1286,-0.1606,0.0312,0.933333333333,-0.0944444444444,1.52222222222
1386186009.36,0.5948,0.5292,0.5826,0.2174,-0.1516,-0.1538,0.0334,0.963888888889,-0.111111111111,1.50833333333
1386186009.37,0.5884,0.5316,0.5844,0.194,-0.1574,-0.1446,0.0334,0.963888888889,-0.111111111111,1.50833333333
1386186009.38,0.583,0.5122,0.581,0.1672,-0.1446,-0.1344,0.0334,0.963888888889,-0.111111111111,1.50833333333
1386186009.38,0.5714,0.4876,0.5772,0.1468,-0.1224,-0.1242,0.0334,0.963888888889,-0.111111111111,1.50833333333
1386186009.39,0.5632,0.472,0.5754,0.1126,-0.1056,-0.1182,0.0334,0.963888888889,-0.111111111111,1.50833333333
1386186009.39,0.5558,0.4652,0.5676,0.0772,-0.0802,-0.1128,0.0336,0.966666666667,-0.108333333333,1.525
1386186009.4,0.5456,0.4614,0.5494,0.0428,-0.0538,-0.1136,0.0336,0.966666666667,-0.108333333333,1.525
1386186009.41,0.5298,0.4596,0.528,0.0118,-0.0258,-0.1204,0.0334,0.963888888889,-0.108333333333,1.51388888889
1386186009.41,0.5206,0.457,0.5118,-0.0168,0.0016,-0.128,0.0334,0.963888888889,-0.108333333333,1.51388888889
1386186009.42,0.5106,0.4496,0.4898,-0.0422,0.0288,-0.1334,0.0322,0.947222222222,-0.0916666666667,1.54166666667
1386186009.42,0.5014,0.4452,0.4684,-0.0652,0.0544,-0.1348,0.0322,0.947222222222,-0.0916666666667,1.54166666667
1386186009.43,0.4886,0.439,0.451,-0.0824,0.08,-0.1362,0.034,0.972222222222,-0.05,1.52777777778
1386186009.44,0.4838,0.4294,0.439,-0.092,0.1058,-0.1356,0.034,0.972222222222,-0.05,1.52777777778
1386186009.44,0.4816,0.416,0.43,-0.0902,0.1284,-0.134,0.034,0.972222222222,-0.05,1.52777777778
1386186009.45,0.4832,0.409,0.4398,-0.0772,0.1432,-0.131,0.0314,0.936111111111,-0.0416666666667,1.55555555556
1386186009.45,0.489,0.4068,0.4612,-0.0522,0.1484,-0.1272,0.0314,0.936111111111,-0.0416666666667,1.55555555556
